['gat', 'sum', 'relu', 2, 8, 'linear', 'mlp', 'tanh', 2, 7],0.5,0.69
['gat_sym', 'sum', 'linear', 6, 256, 'generalized_linear', 'mean', 'linear', 2, 7],-0.005999999999999894,0.684
['cos', 'max', 'tanh', 4, 256, 'linear', 'mean', 'elu', 6, 7],-0.07900000000000007,0.608
['gat', 'sum', 'relu', 2, 8, 'linear', 'mlp', 'tanh', 2, 7],0.5,0.69
['gat_sym', 'sum', 'linear', 6, 256, 'generalized_linear', 'mean', 'linear', 2, 7],-0.007999999999999896,0.682
['cos', 'max', 'tanh', 4, 256, 'linear', 'mean', 'elu', 6, 7],-0.039999999999999925,0.646
['const', 'sum', 'relu', 16, 128, 'gat_sym', 'mlp', 'sigmoid', 4, 7],0.07533333333333336,0.748
['const', 'sum', 'relu6', 1, 128, 'generalized_linear', 'mlp', 'sigmoid', 1, 7],0.09650000000000003,0.788
['gat', 'sum', 'linear', 2, 8, 'generalized_linear', 'mlp', 'leaky_relu', 1, 7],0.0252,0.736
['gcn', 'mlp', 'tanh', 1, 32, 'gcn', 'mean', 'leaky_relu', 2, 7],-0.03499999999999992,0.68
['gat_sym', 'mlp', 'elu', 1, 256, 'gcn', 'mlp', 'sigmoid', 2, 7],-0.38599999999999995,0.324
['const', 'mean', 'relu', 2, 32, 'const', 'mean', 'elu', 8, 7],0.07225000000000004,0.734
['generalized_linear', 'max', 'relu', 4, 64, 'gcn', 'mean', 'sigmoid', 2, 7],-0.5,0.142
['cos', 'sum', 'linear', 1, 4, 'linear', 'max', 'leaky_relu', 16, 7],-0.5,0.114
['const', 'mlp', 'leaky_relu', 1, 256, 'gat', 'mean', 'linear', 8, 7],0.1289999999999999,0.746
['generalized_linear', 'sum', 'relu', 16, 32, 'gat', 'mean', 'relu', 1, 7],-0.20740000000000003,0.47
['cos', 'max', 'softplus', 6, 4, 'const', 'max', 'softplus', 4, 7],-0.5,0.156
['const', 'mean', 'relu6', 2, 256, 'cos', 'max', 'linear', 8, 7],0.006000000000000005,0.698
['gcn', 'sum', 'linear', 1, 64, 'cos', 'mlp', 'softplus', 16, 7],-0.08479999999999988,0.63
['cos', 'mlp', 'leaky_relu', 4, 256, 'gat', 'mean', 'leaky_relu', 16, 7],0.0032000000000000917,0.718
['gat', 'mlp', 'linear', 4, 16, 'cos', 'mlp', 'relu6', 16, 7],-0.5,0.1
['gat_sym', 'sum', 'sigmoid', 4, 8, 'linear', 'max', 'tanh', 8, 7],-0.46399999999999997,0.258
['gcn', 'mean', 'relu', 2, 32, 'cos', 'mlp', 'tanh', 16, 7],-0.312,0.41
['generalized_linear', 'mlp', 'softplus', 6, 128, 'generalized_linear', 'mlp', 'softplus', 2, 7],-0.5,0.132
['linear', 'mlp', 'leaky_relu', 4, 256, 'cos', 'max', 'tanh', 2, 7],-0.304,0.418
['gcn', 'mlp', 'elu', 16, 4, 'cos', 'sum', 'softplus', 2, 7],0.040000000000000036,0.762
['generalized_linear', 'mlp', 'softplus', 2, 16, 'const', 'mlp', 'leaky_relu', 6, 7],-0.5,0.206
['cos', 'mean', 'leaky_relu', 16, 128, 'gat_sym', 'mlp', 'relu6', 4, 7],-0.5,0.11
['const', 'max', 'relu6', 4, 128, 'const', 'mlp', 'leaky_relu', 1, 7],-0.020199999999999996,0.71
['generalized_linear', 'sum', 'relu6', 2, 4, 'gat', 'sum', 'sigmoid', 16, 7],-0.5,0.2
['gat_sym', 'mlp', 'relu', 4, 256, 'generalized_linear', 'mlp', 'linear', 16, 7],0.01100000000000001,0.744
['const', 'mlp', 'leaky_relu', 16, 64, 'linear', 'sum', 'elu', 4, 7],0.047599999999999976,0.786
['gat', 'sum', 'softplus', 2, 4, 'const', 'mean', 'sigmoid', 4, 7],-0.5,0.242
['gat', 'mlp', 'leaky_relu', 16, 32, 'const', 'mean', 'relu', 1, 7],-0.011200000000000099,0.736
['gcn', 'sum', 'sigmoid', 4, 4, 'gat', 'max', 'linear', 8, 7],-0.4397999999999999,0.31
['linear', 'sum', 'linear', 8, 128, 'linear', 'max', 'linear', 16, 7],-0.33779999999999993,0.412
['generalized_linear', 'mean', 'elu', 1, 64, 'generalized_linear', 'mlp', 'tanh', 2, 7],-0.5,0.178
['const', 'mean', 'leaky_relu', 4, 8, 'linear', 'max', 'tanh', 4, 7],-0.3057999999999999,0.444
['generalized_linear', 'sum', 'leaky_relu', 6, 64, 'gat_sym', 'max', 'leaky_relu', 6, 7],-0.5,0.192
['gat_sym', 'mlp', 'tanh', 4, 64, 'linear', 'mlp', 'leaky_relu', 2, 7],-0.029799999999999938,0.72
['cos', 'mean', 'leaky_relu', 2, 32, 'generalized_linear', 'max', 'relu6', 16, 7],-0.5,0.122
['gat', 'mlp', 'relu6', 4, 64, 'const', 'mlp', 'relu', 16, 7],-0.029999999999999916,0.72
['gat', 'mean', 'tanh', 16, 64, 'cos', 'sum', 'softplus', 16, 7],-0.5,0.116
['generalized_linear', 'mean', 'relu6', 1, 8, 'gat', 'sum', 'linear', 1, 7],-0.5,0.214
['gcn', 'mean', 'sigmoid', 1, 16, 'generalized_linear', 'sum', 'elu', 6, 7],-0.5,0.204
['const', 'mlp', 'relu', 2, 16, 'const', 'sum', 'leaky_relu', 4, 7],-0.05999999999999994,0.69
['cos', 'mlp', 'tanh', 6, 128, 'gat_sym', 'mlp', 'relu', 6, 7],-0.1299999999999999,0.62
['gcn', 'mean', 'elu', 1, 16, 'gcn', 'mean', 'leaky_relu', 4, 7],-0.5,0.202
['gat', 'max', 'softplus', 1, 4, 'generalized_linear', 'mean', 'elu', 8, 7],-0.5,0.084
['gat_sym', 'mean', 'linear', 2, 128, 'gcn', 'max', 'linear', 4, 7],-0.3699999999999999,0.38
['gcn', 'mlp', 'tanh', 16, 32, 'cos', 'mlp', 'relu6', 1, 7],0.014000000000000123,0.764
['gcn', 'max', 'sigmoid', 6, 8, 'cos', 'mlp', 'relu', 6, 7],-0.5,0.158
['cos', 'mlp', 'relu', 1, 64, 'linear', 'max', 'relu', 6, 7],-0.48839999999999995,0.266
['generalized_linear', 'mlp', 'softplus', 8, 64, 'generalized_linear', 'sum', 'linear', 1, 7],0.0016000000000000458,0.756
['linear', 'max', 'leaky_relu', 16, 32, 'const', 'sum', 'leaky_relu', 16, 7],-0.010599999999999943,0.746
['gat_sym', 'mean', 'sigmoid', 8, 8, 'gat', 'mean', 'relu', 2, 7],-0.5,0.078
['generalized_linear', 'mean', 'elu', 8, 8, 'gat', 'mlp', 'leaky_relu', 8, 7],-0.40359999999999996,0.354
['gat', 'mlp', 'tanh', 2, 256, 'linear', 'sum', 'sigmoid', 2, 7],-0.015599999999999947,0.742
['linear', 'sum', 'elu', 8, 128, 'gat', 'max', 'relu6', 8, 7],-0.10819999999999996,0.65
['generalized_linear', 'sum', 'softplus', 8, 16, 'gcn', 'sum', 'relu6', 8, 7],-0.5,0.122
['linear', 'sum', 'sigmoid', 4, 4, 'gat_sym', 'max', 'sigmoid', 16, 7],-0.5,0.072
['linear', 'mean', 'softplus', 8, 64, 'const', 'mlp', 'softplus', 4, 7],-0.5,0.156
['gat', 'sum', 'linear', 8, 32, 'gcn', 'mean', 'softplus', 4, 7],-0.24419999999999997,0.514
['gat_sym', 'mlp', 'elu', 6, 256, 'gat_sym', 'max', 'relu', 6, 7],-0.05820000000000003,0.7
['gcn', 'mlp', 'linear', 2, 128, 'const', 'mean', 'elu', 1, 7],-0.00019999999999997797,0.758
['gat_sym', 'mlp', 'relu', 2, 256, 'gat', 'max', 'relu6', 1, 7],-0.007800000000000029,0.752
['gat_sym', 'mean', 'tanh', 2, 128, 'const', 'mean', 'tanh', 4, 7],-0.3366000000000002,0.424
['gat_sym', 'mlp', 'elu', 6, 32, 'linear', 'mlp', 'relu', 1, 7],-0.018600000000000172,0.742
['gat', 'sum', 'sigmoid', 2, 4, 'const', 'mean', 'tanh', 16, 7],-0.5,0.23
['const', 'max', 'softplus', 8, 128, 'generalized_linear', 'sum', 'tanh', 2, 7],-0.5,0.168
['const', 'max', 'tanh', 8, 16, 'generalized_linear', 'sum', 'sigmoid', 6, 7],0.033399999999999874,0.794
['gat', 'sum', 'relu', 8, 16, 'gat', 'max', 'linear', 1, 7],-0.023399999999999976,0.742
['gcn', 'sum', 'relu', 6, 16, 'generalized_linear', 'mlp', 'relu', 16, 7],-0.44139999999999996,0.324
['gcn', 'max', 'relu6', 8, 8, 'const', 'mean', 'sigmoid', 8, 7],-0.44939999999999997,0.316
['cos', 'mean', 'softplus', 1, 8, 'linear', 'max', 'tanh', 6, 7],-0.5,0.156
['const', 'max', 'elu', 16, 64, 'const', 'mlp', 'elu', 16, 7],-0.033399999999999985,0.732
['const', 'max', 'tanh', 2, 32, 'gat', 'mean', 'sigmoid', 4, 7],-0.5,0.256
['gcn', 'mean', 'linear', 4, 64, 'generalized_linear', 'max', 'elu', 4, 7],-0.5,0.22
['cos', 'max', 'relu', 4, 32, 'cos', 'mean', 'sigmoid', 8, 7],-0.5,0.058
['generalized_linear', 'max', 'relu', 4, 32, 'linear', 'sum', 'relu6', 16, 7],-0.0534,0.712
['gcn', 'sum', 'tanh', 6, 64, 'linear', 'mean', 'relu', 2, 7],-0.5,0.25
['const', 'mlp', 'relu6', 8, 4, 'const', 'sum', 'softplus', 6, 7],-0.007399999999999962,0.758
['gat', 'sum', 'sigmoid', 16, 8, 'cos', 'max', 'relu6', 1, 7],-0.5,0.122
['cos', 'max', 'leaky_relu', 2, 16, 'gat', 'max', 'linear', 1, 7],-0.2886000000000001,0.478
['gat', 'mlp', 'leaky_relu', 8, 64, 'gat_sym', 'max', 'relu6', 6, 7],-0.04860000000000009,0.718
['linear', 'sum', 'tanh', 2, 64, 'gat', 'mlp', 'softplus', 4, 7],-0.020600000000000063,0.746
['const', 'max', 'relu6', 4, 32, 'gat_sym', 'sum', 'elu', 1, 7],-0.00660000000000005,0.76
['gcn', 'max', 'sigmoid', 8, 16, 'cos', 'mlp', 'linear', 16, 7],-0.5,0.16
['const', 'max', 'leaky_relu', 2, 256, 'generalized_linear', 'mean', 'elu', 4, 7],-0.11180000000000001,0.656
['gat_sym', 'max', 'tanh', 8, 256, 'gat_sym', 'sum', 'elu', 16, 7],-0.03380000000000005,0.734
['gat', 'max', 'sigmoid', 1, 256, 'linear', 'max', 'relu6', 2, 7],-0.5,0.122
['generalized_linear', 'mean', 'softplus', 16, 32, 'generalized_linear', 'mlp', 'linear', 6, 7],-0.5,0.174
['generalized_linear', 'sum', 'leaky_relu', 8, 128, 'cos', 'mean', 'tanh', 2, 7],-0.40180000000000005,0.366
['gat_sym', 'sum', 'relu', 16, 64, 'const', 'mean', 'linear', 4, 7],-0.015800000000000036,0.752
['gcn', 'mlp', 'sigmoid', 6, 16, 'gat_sym', 'max', 'softplus', 1, 7],-0.5,0.1
['cos', 'mean', 'linear', 1, 256, 'gat_sym', 'sum', 'linear', 16, 7],-0.40980000000000005,0.358
['generalized_linear', 'sum', 'softplus', 8, 64, 'const', 'mean', 'elu', 2, 7],-0.5,0.156
['const', 'mean', 'elu', 4, 128, 'const', 'mean', 'leaky_relu', 6, 7],-0.047800000000000065,0.72
['gat_sym', 'mean', 'elu', 1, 256, 'cos', 'mlp', 'softplus', 2, 7],-0.2998,0.468
['gcn', 'max', 'linear', 16, 16, 'gcn', 'max', 'linear', 1, 7],-0.1058,0.662
['gat_sym', 'sum', 'tanh', 6, 16, 'gat', 'mlp', 'linear', 16, 7],-0.03380000000000005,0.734
['generalized_linear', 'max', 'relu', 4, 4, 'const', 'max', 'relu6', 2, 7],-0.5,0.204
['gcn', 'sum', 'leaky_relu', 16, 8, 'cos', 'mlp', 'softplus', 6, 7],-0.017800000000000038,0.75
['gat_sym', 'mlp', 'leaky_relu', 2, 16, 'gat', 'sum', 'leaky_relu', 16, 7],-0.12380000000000002,0.644
['const', 'mlp', 'softplus', 16, 32, 'cos', 'mlp', 'elu', 2, 7],-0.02180000000000004,0.746
['linear', 'sum', 'relu', 4, 4, 'gcn', 'max', 'linear', 8, 7],-0.39980000000000004,0.368
['cos', 'sum', 'relu6', 1, 64, 'linear', 'sum', 'relu6', 1, 7],0.010199999999999987,0.778
['gcn', 'mlp', 'tanh', 1, 32, 'generalized_linear', 'sum', 'tanh', 2, 7],-0.07840000000000003,0.692
['gcn', 'sum', 'softplus', 16, 16, 'generalized_linear', 'mlp', 'relu', 8, 7],-0.5,0.122
['generalized_linear', 'mlp', 'linear', 4, 64, 'gat', 'mean', 'relu6', 4, 7],-0.4724,0.298
['linear', 'mlp', 'relu6', 16, 32, 'linear', 'mlp', 'linear', 8, 7],-0.022399999999999975,0.748
['generalized_linear', 'sum', 'tanh', 8, 256, 'gcn', 'mean', 'relu6', 4, 7],-0.43239999999999995,0.338
['const', 'mlp', 'relu6', 1, 16, 'linear', 'max', 'elu', 8, 7],-0.4264,0.344
['linear', 'mean', 'tanh', 16, 32, 'cos', 'max', 'linear', 6, 7],-0.5,0.132
['gcn', 'sum', 'tanh', 8, 8, 'gat', 'mean', 'tanh', 16, 7],-0.5,0.186
['cos', 'sum', 'linear', 2, 32, 'linear', 'mlp', 'relu', 8, 7],-0.15839999999999999,0.612
['const', 'mean', 'tanh', 4, 8, 'gat_sym', 'max', 'sigmoid', 2, 7],-0.5,0.184
['gat', 'sum', 'tanh', 16, 64, 'gcn', 'sum', 'relu6', 16, 7],-0.05840000000000001,0.712
['const', 'mlp', 'tanh', 16, 4, 'cos', 'max', 'relu6', 4, 7],-0.04239999999999999,0.728
['cos', 'sum', 'tanh', 2, 128, 'generalized_linear', 'mlp', 'linear', 6, 7],-0.0464,0.724
['const', 'max', 'softplus', 6, 64, 'gat_sym', 'max', 'sigmoid', 8, 7],-0.5,0.246
['generalized_linear', 'sum', 'relu6', 8, 128, 'const', 'mean', 'softplus', 1, 7],0.005600000000000049,0.776
['generalized_linear', 'mlp', 'leaky_relu', 2, 256, 'gcn', 'mean', 'softplus', 1, 7],-0.09039999999999992,0.682
['cos', 'mlp', 'relu6', 2, 32, 'const', 'mean', 'softplus', 6, 7],-0.24239999999999995,0.53
['gcn', 'sum', 'relu', 16, 64, 'gcn', 'sum', 'linear', 8, 7],0.02760000000000007,0.8
['cos', 'mean', 'leaky_relu', 1, 32, 'const', 'mlp', 'elu', 8, 7],-0.34659999999999996,0.43
['generalized_linear', 'max', 'leaky_relu', 2, 32, 'gat', 'mean', 'linear', 6, 7],-0.5,0.184
['cos', 'mean', 'relu6', 8, 256, 'gat', 'max', 'relu', 6, 7],-0.5,0.122
['cos', 'mean', 'relu6', 8, 8, 'cos', 'max', 'relu6', 6, 7],-0.5,0.122
['generalized_linear', 'mean', 'elu', 2, 16, 'linear', 'sum', 'leaky_relu', 8, 7],-0.25259999999999994,0.524
['cos', 'mean', 'relu6', 1, 128, 'gat_sym', 'mlp', 'relu', 8, 7],-0.5,0.122
['gat', 'mlp', 'elu', 8, 128, 'linear', 'max', 'relu6', 4, 7],-0.0706,0.706
['gcn', 'mlp', 'relu6', 4, 32, 'gcn', 'mean', 'relu6', 1, 7],-0.5,0.274
['cos', 'sum', 'leaky_relu', 8, 64, 'gat_sym', 'max', 'relu', 16, 7],-0.5,0.122
['gat_sym', 'max', 'elu', 2, 4, 'const', 'sum', 'relu', 6, 7],-0.35459999999999997,0.422
['generalized_linear', 'sum', 'leaky_relu', 6, 16, 'gcn', 'mean', 'softplus', 16, 7],-0.46059999999999995,0.316
['linear', 'max', 'linear', 2, 4, 'gcn', 'mlp', 'tanh', 4, 7],-0.35459999999999997,0.422
['cos', 'mlp', 'relu6', 6, 16, 'generalized_linear', 'mean', 'softplus', 6, 7],-0.38459999999999994,0.392
['linear', 'sum', 'linear', 1, 32, 'gat_sym', 'mlp', 'linear', 16, 7],-0.0706,0.706
['cos', 'mlp', 'relu6', 8, 256, 'cos', 'sum', 'relu6', 8, 7],-0.012599999999999945,0.764
['gat', 'mlp', 'tanh', 8, 32, 'const', 'mean', 'sigmoid', 1, 7],-0.23519999999999996,0.542
['generalized_linear', 'sum', 'elu', 8, 16, 'gat', 'max', 'softplus', 6, 7],-0.4612,0.316
['gcn', 'sum', 'leaky_relu', 8, 32, 'gat', 'max', 'relu', 1, 7],-0.3332,0.444
['gcn', 'mean', 'relu', 4, 8, 'gcn', 'mlp', 'sigmoid', 4, 7],-0.4592,0.318
['gat', 'sum', 'relu', 2, 8, 'linear', 'mlp', 'tanh', 2, 7],0.5,0.69
['linear', 'mean', 'relu6', 16, 8, 'cos', 'mlp', 'linear', 6, 7],-0.05520000000000003,0.722
['gat', 'sum', 'leaky_relu', 4, 16, 'cos', 'max', 'relu6', 16, 7],-0.5,0.122
['gat_sym', 'sum', 'linear', 6, 256, 'generalized_linear', 'mean', 'linear', 2, 7],-0.005999999999999894,0.684
['linear', 'max', 'linear', 2, 128, 'gat_sym', 'mean', 'leaky_relu', 4, 7],-0.5,0.084
['linear', 'mean', 'relu', 1, 8, 'gcn', 'sum', 'relu', 2, 7],-0.5,0.188
['linear', 'mlp', 'tanh', 2, 128, 'const', 'mlp', 'relu', 16, 7],-0.03920000000000001,0.738
['gat_sym', 'max', 'elu', 8, 64, 'linear', 'mean', 'tanh', 6, 7],-0.5,0.202
['gat_sym', 'mlp', 'softplus', 2, 32, 'const', 'max', 'leaky_relu', 16, 7],-0.23319999999999996,0.544
['const', 'mean', 'elu', 2, 64, 'linear', 'sum', 'softplus', 1, 7],0.00880000000000003,0.786
['cos', 'max', 'tanh', 4, 256, 'linear', 'mean', 'elu', 6, 7],-0.07300000000000006,0.614
['const', 'sum', 'relu', 16, 128, 'gat_sym', 'mlp', 'sigmoid', 4, 7],0.10533333333333339,0.768
['const', 'sum', 'relu6', 1, 128, 'generalized_linear', 'mlp', 'sigmoid', 1, 7],0.10300000000000009,0.792
['gat', 'sum', 'linear', 2, 8, 'generalized_linear', 'mlp', 'leaky_relu', 1, 7],0.02639999999999998,0.736
['gcn', 'mlp', 'tanh', 1, 32, 'gcn', 'mean', 'leaky_relu', 2, 7],-0.03400000000000003,0.68
['gat_sym', 'mlp', 'elu', 1, 256, 'gcn', 'mlp', 'sigmoid', 2, 7],-0.38114285714285717,0.328
